Time,G9,A11,A12,B11,B12
0:00:00,216,11191,2345,10921,5162
0:30:00,215,10808,2435,10898,5385
1:00:00,210,11339,2580,11053,5628
1:30:00,213,11696,2705,11206,5844
2:00:00,221,11906,2801,11266,5992
2:30:00,226,12091,2889,11334,6158
3:00:00,214,12174,2938,11376,6348
3:30:00,208,12397,3042,11422,6484
4:00:00,220,12596,3075,11406,6547
4:30:00,220,12615,3179,11427,6670
5:00:00,218,12720,3208,11462,6729
5:30:00,225,12710,3264,11421,6807
6:00:00,261,12865,3301,11506,6931
6:30:00,282,12908,3322,11515,7007
7:00:00,307,12957,3407,11540,7047
7:30:00,321,12990,3393,11504,7178
8:00:00,331,13045,3481,11537,7236
8:30:00,344,13089,3501,11547,7291
9:00:00,349,13177,3560,11624,7380
9:30:00,349,13121,3614,11556,7408
10:00:00,350,13241,3612,11561,7490
10:30:00,360,13190,3682,11565,7563
11:00:00,346,13296,3683,11633,7571
11:30:00,316,13204,3712,11630,7664
12:00:00,303,13257,3727,11557,7663
12:30:00,315,13229,3747,11608,7721
13:00:00,308,13298,3799,11614,7765
13:30:00,311,13280,3765,11603,7822
14:00:00,304,13194,3842,11616,7869
14:30:00,316,13304,3817,11600,7858
15:00:00,291,13293,3859,11664,7913
15:30:00,317,13320,3894,11631,7945
16:00:00,315,13329,3925,11647,7980
16:30:00,297,13464,3945,11727,7980
17:00:00,288,13405,3969,11653,8028
17:30:00,265,13586,3989,11783,8116
18:00:00,271,13611,4020,11822,8094
18:30:00,227,13755,4048,11897,8133
19:00:00,225,13757,4080,11911,8234
19:30:00,206,13938,4085,11970,8269
20:00:00,207,14027,4163,12013,8311
20:30:00,218,14039,4169,12079,8320
21:00:00,212,14171,4201,12115,8321
21:30:00,225,14059,4215,11988,8360
22:00:00,209,14141,4243,12014,8396
22:30:00,209,14088,4251,11963,8403
23:00:00,210,14006,4253,12033,8401
23:30:00,214,13973,4210,11939,8474
24:00:00,205,13909,4272,11984,8489
24:30:00,209,13917,4272,11924,8500
25:00:00,206,13860,4313,11896,8498
25:30:00,209,13879,4291,11841,8549
26:00:00,212,13792,4340,11827,8583
26:30:00,203,13909,4358,11869,8631
27:00:00,209,13847,4340,11897,8651
27:30:00,198,13808,4374,11940,8617
28:00:00,210,13907,4376,11861,8641
28:30:00,210,13923,4391,11922,8651
29:00:00,205,13850,4408,11877,8751
29:30:00,229,13885,4389,11893,8677
30:00:00,224,13797,4456,11927,8757
30:30:00,211,13853,4436,11806,8722
31:00:00,212,13726,4447,11828,8796
31:30:00,202,13900,4460,11891,8757
32:00:00,208,13756,4480,11816,8769
32:30:00,214,13804,4450,11792,8743
33:00:00,205,13731,4440,11738,8785
33:30:00,206,13785,4485,11754,8800
34:00:00,204,13641,4472,11799,8791
34:30:00,200,13790,4466,11790,8832
35:00:00,217,13661,4489,11850,8882
35:30:00,213,13694,4507,11838,8826
36:00:00,219,13694,4495,11786,8869
36:30:00,206,13730,4499,11738,8866
37:00:00,207,13772,4547,11816,8895
37:30:00,214,13715,4518,11817,8916
38:00:00,204,13633,4530,11814,8930
38:30:00,197,13696,4576,11874,8960
39:00:00,215,13720,4553,11720,8998
39:30:00,206,13671,4544,11721,9006
40:00:00,209,13605,4563,11740,8977
40:30:00,206,13702,4548,11803,8983
41:00:00,201,13694,4563,11712,8918
41:30:00,205,13623,4563,11765,8943
42:00:00,218,13551,4575,11750,8986
42:30:00,207,13661,4584,11685,8931
43:00:00,207,13523,4554,11805,8910
43:30:00,199,13698,4558,11765,8892
44:00:00,210,13619,4516,11698,8886
44:30:00,194,13556,4553,11760,8956
45:00:00,205,13580,4538,11691,8877
45:30:00,193,13718,4593,11666,8952
46:00:00,200,13615,4592,11764,8956
46:30:00,203,13737,4626,11790,9013
47:00:00,201,13733,4612,11856,8980
47:30:00,210,13661,4636,11842,9049
48:00:00,205,13638,4702,11804,9037
48:30:00,201,13606,4673,11692,9009
49:00:00,208,13466,4662,11743,9056
49:30:00,198,13591,4658,11707,9049
50:00:00,195,13525,4665,11731,9065
50:30:00,208,13604,4690,11705,9094
51:00:00,208,13511,4670,11774,9094
51:30:00,216,13486,4693,11710,9104
52:00:00,212,13481,4671,11687,9122
52:30:00,203,13574,4706,11673,9130
53:00:00,193,13457,4737,11746,9108
53:30:00,198,13591,4717,11675,9151
54:00:00,199,13442,4699,11781,9191
54:30:00,189,13548,4749,11637,9212
55:00:00,206,13536,4732,11732,9133
55:30:00,196,13499,4708,11764,9191
56:00:00,203,13471,4767,11638,9203
56:30:00,199,13429,4782,11687,9228
57:00:00,205,13455,4734,11728,9259
57:30:00,215,13410,4757,11643,9222
58:00:00,196,13538,4747,11662,9207
58:30:00,216,13387,4764,11693,9248
59:00:00,214,13530,4812,11725,9194
59:30:00,210,13403,4761,11684,9250
60:00:00,219,13479,4767,11650,9279
60:30:00,205,13471,4785,11685,9236
61:00:00,201,13421,4806,11658,9286
61:30:00,206,13361,4776,11721,9208
62:00:00,205,13373,4761,11663,9276
62:30:00,194,13376,4820,11633,9199
63:00:00,208,13348,4821,11704,9261
63:30:00,191,13390,4773,11631,9291
64:00:00,201,13392,4813,11671,9277
64:30:00,190,13439,4809,11690,9316
65:00:00,192,13521,4807,11650,9341
65:30:00,215,13343,4817,11638,9390
66:00:00,194,13445,4883,11679,9373
66:30:00,197,13315,4826,11694,9315
67:00:00,201,13280,4831,11640,9300
67:30:00,190,13376,4862,11635,9363
